Gia,Dia chi,Dien tich,Gia/m2,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai
"1,7 tỷ - 109 m2","Đường Nguyễn Duy Trinh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",109 m²,"15,6 triệu/m²",Bắc,Đất thổ cư,8 m,14 m
"7,2 tỷ - 70 m2","Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",70 m²,"102,86 triệu/m²",Đông,Đất thổ cư,6 m,11 m
"4,05 tỷ - 100 m2","Đường Trần Hữu Dực, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"40,5 triệu/m²",Nam,Đất thổ cư,5 m,20 m
"19,6 tỷ - 280 m2","Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",280 m²,70 triệu/m²,Tây Nam,Đất nền dự án,15 m,18 m
"2,95 tỷ - 85 m2","70, Đường Hoà Phú 10, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",85 m²,"34,71 triệu/m²",Tây Bắc,Đất thổ cư,5 m,17 m
"2,75 tỷ - 100 m2","Đường Thép Mới, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"27,5 triệu/m²",Bắc,Đất thổ cư,5 m,20 m
"1,72 tỷ - 87 m2","Đường Nguyễn Duy Trinh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",87 m²,"19,77 triệu/m²",Đông Bắc,Đất thổ cư,4.3 m,21 m
1 tỷ - 120 m2,"Lệ Sơn Nam, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"8,33 triệu/m²",Bắc,Đất thổ cư,5 m,
"11,5 tỷ - 100 m2","Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,115 triệu/m²,Tây Nam,Đất nền dự án,5 m,20 m
"3,95 tỷ - 140 m2","Đường Phan Đình Thông, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",140 m²,"28,21 triệu/m²",Tây,Đất thổ cư,7 m,20 m
"2,9 tỷ - 80 m2","Hoà Phú 3, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",80 m²,"36,25 triệu/m²",,Đất thổ cư,,
"2,5 tỷ - 95 m2","Trà Na 4, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",95 m²,"26,32 triệu/m²",Tây Bắc,Đất thổ cư,5 m,19 m
"1,3 tỷ - 100 m2","Miếu bông, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,13 triệu/m²,,Đất thổ cư,,
"2,94 tỷ - 72 m2","Phú Lộc 1, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",72 m²,"40,83 triệu/m²",,Đất thổ cư,,
55 tỷ - 1.000 m2,"Đường Bạch Đằng, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",1000 m²,55 triệu/m²,,Đất thổ cư,20 m,50 m
"2,6 tỷ - 100 m2","Đường B1 - Hồng Phước, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,26 triệu/m²,Đông Bắc,Đất thổ cư,5 m,200 m
"3,42 tỷ - 100 m2","Hòa Quý, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"34,2 triệu/m²",Tây Bắc,Đất nền dự án,5 m,
"12,5 tỷ - 104 m2","Đường Đông Kinh Nghĩa Thục, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",104 m²,"120,19 triệu/m²",,Đất thổ cư,20 m,5.5 m
5 tỷ - 78 m2,"Đường Ngọc Hân, Phường An Hải Tây, Quận Sơn Trà, Đà NẵngXem bản đồ",78 m²,"64,1 triệu/m²",Nam,Đất thổ cư,5.5 m,14.5 m
"3,25 tỷ - 100 m2","Đường Hoàng Bình Chính, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"32,5 triệu/m²",Đông,Đất thổ cư,5 m,20 m
"2,3 tỷ - 100 m2","Đường Nguyễn Văn Tỵ, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,23 triệu/m²,,Đất nền dự án,,
"9,2 tỷ - 200 m2","Nguyễn Đình Tứ , Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",200 m²,46 triệu/m²,,Đất thổ cư,10 m,20 m
"1,12 tỷ - 115 m2","dường 7, Xã Hòa Ninh, Huyện Hòa Vang, Đà NẵngXem bản đồ",115 m²,"9,74 triệu/m²",Đông Nam,Đất thổ cư,5 m,
"4,55 tỷ - 138 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",138 m²,"32,97 triệu/m²",,Đất nền dự án,7.5 m,
"2,3 tỷ - 98 m2","Trần Đinh Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",98 m²,"23,47 triệu/m²",,Đất thổ cư,8 m,
"7,99 tỷ - 155 m2","Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",155 m²,"51,55 triệu/m²",Tây Nam,Đất thổ cư,5 m,33 m
"17,5 tỷ - 200 m2","An Đồn, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",200 m²,"87,5 triệu/m²",Tây Nam,Đất nền dự án,9.5 m,22 m
"31,4 tỷ - 251 m2","Đường Lê Văn Quý, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",251 m²,"125,1 triệu/m²",Đông,Đất thổ cư,10 m,25 m
21 tỷ - 250 m2,"Đường Mỹ Đa Đông 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",250 m²,84 triệu/m²,,Đất thổ cư,9 m,24 m
7 tỷ - 200 m2,"Đường Võ Văn Đồng, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",200 m²,35 triệu/m²,Nam,Đất thổ cư,10 m,20 m
"2,8 tỷ - 71 m2","Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",71 m²,"39,44 triệu/m²",Đông Nam,Đất thổ cư,4.5 m,16 m
"6,2 tỷ - 166 m2","Hoàng Bình Chính Và Bùi Bỉnh Uyên, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",166 m²,"37,35 triệu/m²",Đông Bắc,Đất thổ cư,8.6 m,20 m
"3,3 tỷ - 94 m2","Đường Sơn Thủy 3, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",94 m²,"35,11 triệu/m²",Đông,Đất thổ cư,5 m,18 m
"2,6 tỷ - 100 m2","Đường Thổ Sơn 2, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,26 triệu/m²,Đông Nam,Đất thổ cư,5 m,20 m
"2,8 tỷ - 84 m2","Đường Hoàng Bình Chính, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",84 m²,"33,33 triệu/m²",Tây,Đất thổ cư,5 m,16.7999 m
13 tỷ - 108 m2,"Đường Mỹ Khê 2, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",108 m²,"120,37 triệu/m²",Đông Bắc,Đất thổ cư,5 m,22 m
"4,56 tỷ - 228 m2","Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",228 m²,20 triệu/m²,,Đất thổ cư,,
"2,8 tỷ - 78 m2","Đường Nguyễn Nghiễm, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",78 m²,"35,9 triệu/m²",Đông Bắc,Đất thổ cư,5 m,15.6 m
"4,6 tỷ - 110 m2","Nguyễn Lâm, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",110 m²,"41,82 triệu/m²",Đông Nam,Đất thổ cư,5 m,22 m
"3,55 tỷ - 77 m2","Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",77 m²,"46,1 triệu/m²",Tây Bắc,Đất thổ cư,5 m,15.3999 m
"5,3 tỷ - 75 m2","Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",75 m²,"70,67 triệu/m²",Đông,Đất thổ cư,5 m,15 m
"4,3 tỷ - 100 m2","Đường Nguyễn Lâm, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",100 m²,43 triệu/m²,,Đất thổ cư,5 m,20 m
"4,3 tỷ - 124 m2","Đường Trương Quốc Dụng, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",124 m²,"34,68 triệu/m²",,Đất nền dự án,5 m,
"2,25 tỷ - 100 m2","Đường Lê Thương, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"22,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
"9,5 tỷ - 175 m2","Khuê Mỹ đông, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",175 m²,"54,29 triệu/m²",,Đất thổ cư,,
"15,7 tỷ - 90 m2","An Thượng 3, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",90 m²,"174,44 triệu/m²",,Đất thổ cư,,
"2,8 tỷ - 71 m2","Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",71 m²,"39,44 triệu/m²",Đông Nam,Đất thổ cư,4.5 m,15.6997 m
"2,2 tỷ - 100 m2","Đường Huỳnh Thị Bảo Hoà, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,22 triệu/m²,,Đất nền dự án,5 m,20 m
"9,5 tỷ - 167 m2","Đường Thủ Khoa Huân, Phường An Hải Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",167 m²,"56,89 triệu/m²",Đông Bắc,Đất thổ cư,6.0999 m,28 m
"5,4 tỷ - 180 m2","Đường Trần Hưng Đạo, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",180 m²,30 triệu/m²,,Đất thổ cư,10 m,18 m
10 tỷ - 300 m2,"Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",300 m²,"33,33 triệu/m²",Đông Nam,Đất nền dự án,12 m,25 m
"2,15 tỷ - 300 m2","Cẩm Toại, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",300 m²,"7,17 triệu/m²",,Đất thổ cư,10 m,
11 tỷ - 172 m2,"Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",172 m²,"63,95 triệu/m²",Đông Bắc,Đất nền dự án,7.1999 m,24 m
"2,4 tỷ - 105 m2","Bình Kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"22,86 triệu/m²",Đông Bắc,Đất thổ cư,4.71 m,22.2999 m
"4,5 tỷ - 97 m2","Đường Hà Đông 3, Phường Xuân Hà, Quận Thanh Khê, Đà NẵngXem bản đồ",97 m²,"46,39 triệu/m²",Tây,Đất thổ cư,5 m,
"3,1 tỷ - 90 m2","Đường 10,5m, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"34,44 triệu/m²",Đông Nam,Đất thổ cư,5 m,18 m
"2,65 tỷ - 100 m2","Đường Nguyễn Bá Ngọc, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"26,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
3 tỷ - 110 m2,"Hói Kiểng 36, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,"27,27 triệu/m²",Đông Nam,Đất thổ cư,5 m,22 m
"4,9 tỷ - 130 m2","Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",130 m²,"37,69 triệu/m²",Đông Bắc,Đất thổ cư,5 m,26 m
70 tỷ - 1.110.4 m2,"Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",1110.4 m²,"63,04 triệu/m²",,Đất thổ cư,,
"3,65 tỷ - 100 m2","Đường Quách Thị Trang, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"36,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
"8,1 tỷ - 200 m2","Đường Cồn Dầu 24, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",200 m²,"40,5 triệu/m²",Đông Nam,Đất thổ cư,10 m,20 m
"3,9 tỷ - 125 m2","Kiệt Quận Hải Châu, Phường Hòa Cường Nam, Quận Hải Châu, Đà NẵngXem bản đồ",125 m²,"31,2 triệu/m²",Tây Bắc,Đất thổ cư,5.5 m,
"10,8 tỷ - 255.8.999 m2","Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",255.8999 m²,"42,2 triệu/m²",Tây,Đất thổ cư,12 m,20 m
"4,35 tỷ - 100 m2","Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"43,5 triệu/m²",,Đất thổ cư,,
"3,75 tỷ - 96 m2","Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",96 m²,"39,06 triệu/m²",,Đất thổ cư,5.5 m,17 m
"24,5 tỷ - 141 m2","Đường Phan Tôn, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",141 m²,"173,76 triệu/m²",,Đất thổ cư,7 m,21 m
"6,45 tỷ - 170 m2","Đường Trần Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",170 m²,"37,94 triệu/m²",Bắc,Đất thổ cư,10 m,17 m
"7,6 tỷ - 154 m2","Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",154 m²,"49,35 triệu/m²",,Đất thổ cư,6 m,25.2 m
"4,8 tỷ - 81 m2","Đường Bình Hòa 11, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",81 m²,"59,26 triệu/m²",Đông Bắc,Đất thổ cư,,
"4,9 tỷ - 111.5 m2","Đường Lê Kim Lăng, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",111.5 m²,"43,95 triệu/m²",,Đất thổ cư,,
21 tỷ - 219.6 m2,"Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu, Đà NẵngXem bản đồ",219.6 m²,"95,63 triệu/m²",,Đất thổ cư,,
"2,19 tỷ - 100 m2","Đường Trương Văn Lĩnh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"21,9 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
"4,6 tỷ - 75 m2","Ca văn Thỉnh, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",75 m²,"61,33 triệu/m²",Đông Bắc,Đất thổ cư,,
"1,4 tỷ - 120 m2","Trà Kiểm , Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"11,67 triệu/m²",Nam,Đất thổ cư,7 m,17 m
"6,2 tỷ - 125 m2","Đường Bắc Sơn, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",125 m²,"49,6 triệu/m²",Đông Bắc,Đất thổ cư,5 m,25 m
"1,999999999 tỷ - 211 m2","14g, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",211 m²,"9,48 triệu/m²",Bắc,Đất thổ cư,7 m,30 m
"4,2 tỷ - 112.1.999 m2","Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",112.1999 m²,"37,43 triệu/m²",Tây Bắc,Đất thổ cư,,
"4,5 tỷ - 103 m2","Đường An Nhơn 9, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",103 m²,"43,69 triệu/m²",,Đất thổ cư,,
11 tỷ - 394 m2,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",394 m²,"27,92 triệu/m²",Đông Nam,Đất nền dự án,15 m,26 m
"4,85 tỷ - 67 m2","Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà NẵngXem bản đồ",67 m²,"72,39 triệu/m²",,Đất thổ cư,,
"1,75 tỷ - 67 m2","Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",67 m²,"26,12 triệu/m²",Bắc,Đất thổ cư,5.5 m,14 m
"4,15 tỷ - 85 m2","Đường Phần Lăng 14, Phường Hòa Khê, Quận Thanh Khê, Đà NẵngXem bản đồ",85 m²,"48,82 triệu/m²",,Đất thổ cư,,
"4,35 tỷ - 100 m2","Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"43,5 triệu/m²",Tây Nam,Đất thổ cư,5 m,20 m
"3,45 tỷ - 100 m2","Thanh Lương 9, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"34,5 triệu/m²",Tây Bắc,Đất thổ cư,5 m,
"28,8 tỷ - 180 m2","Đường Vương Thừa Vũ, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",180 m²,160 triệu/m²,Bắc,Đất thổ cư,10 m,18 m
"2,25 tỷ - 125 m2","Đường Mê Linh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",125 m²,18 triệu/m²,Tây Nam,Đất thổ cư,5 m,25 m
"3,15 tỷ - 125 m2","Hoà Xuân, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",125 m²,"25,2 triệu/m²",,Đất thổ cư,,
8 tỷ - 182 m2,"Đường Nước Mặn 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",182 m²,"43,96 triệu/m²",Đông Nam,Đất nền dự án,10 m,18 m
450 triệu - 130 m2,"Đường tỉnh 605, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",130 m²,"3,46 triệu/m²",,Đất thổ cư,5 m,26 m
"3,38 tỷ - 125 m2","Đường Phan Hoan, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",125 m²,"27,04 triệu/m²",Tây Nam,Đất thổ cư,5 m,25 m
"2,55 tỷ - 89 m2","Kiệt Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",89 m²,"28,65 triệu/m²",Nam,Đất thổ cư,5.62 m,16.39 m
"2,35 tỷ - 120 m2","Betong 6m, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",120 m²,"19,58 triệu/m²",Đông,Đất thổ cư,6 m,20 m
660 triệu - 86 m2,"Nam Sơn, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",86 m²,"7,67 triệu/m²",Tây Nam,Đất thổ cư,4.8 m,18 m
"5,1 tỷ - 130 m2","Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",130 m²,"39,23 triệu/m²",Đông Bắc,Đất thổ cư,5 m,26 m
"3,6075 tỷ - 111 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",111 m²,"32,5 triệu/m²",Bắc,Đất nền dự án,6 m,
"13,5 tỷ - 300 m2","Đường Lê Văn Lương, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",300 m²,45 triệu/m²,,Đất thổ cư,15 m,20 m
"2,85 tỷ - 102 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",102 m²,"27,94 triệu/m²",Bắc,Đất nền dự án,6 m,17 m
"3,55 tỷ - 100 m2","Đường Trần Văn Trà, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"35,5 triệu/m²",,Đất nền dự án,5 m,20 m
"3,5 tỷ - 60 m2","Nại Thịnh 6, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",60 m²,"58,33 triệu/m²",Đông Nam,Đất thổ cư,4 m,15 m
"7,9 tỷ - 63 m2","Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà NẵngXem bản đồ",63 m²,"125,4 triệu/m²",Tây Bắc,Đất thổ cư,5 m,13 m
"7,9 tỷ - 115 m2","Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",115 m²,"68,7 triệu/m²",,Đất thổ cư,5 m,23 m
"1,399999999 tỷ - 100 m2","Hoà Liên 3, Xã Hòa Liên, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,14 triệu/m²,Đông Nam,Đất nền dự án,,
"10,5 tỷ - 225 m2","Đường Ngô Huy Diễn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",225 m²,"46,67 triệu/m²",,Đất thổ cư,,
"4,2 tỷ - 147.6 m2","Đường Dương Đức Nhan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",147.6 m²,"28,46 triệu/m²",Bắc,Đất nền dự án,9 m,17 m
"2,999999999 tỷ - 63 m2","Ngo quyền , Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",63 m²,"47,62 triệu/m²",Tây Nam,Đất thổ cư,15 m,4 m
"2,85 tỷ - 100 m2","Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",100 m²,"28,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
"2,29 tỷ - 100 m2","Đường Nguyễn Văn Tỵ, Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,"22,9 triệu/m²",Nam,Đất nền dự án,5 m,20 m
"2,99 tỷ - 85 m2","Đường Hòa Minh 19, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",85 m²,"35,18 triệu/m²",Đông Nam,Đất thổ cư,5 m,17 m
"2,55 tỷ - 100 m2","Đường Nguyễn Văn Huề, Phường Thanh Khê Tây, Quận Thanh Khê, Đà NẵngXem bản đồ",100 m²,"25,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,22 m
"4,6 tỷ - 142 m2","Đường Cồn Dầu 4, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",142 m²,"32,39 triệu/m²",,Đất thổ cư,8 m,17.75 m
"1,6 tỷ - 79 m2","Đường Trần Ngọc Sương, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",79 m²,"20,25 triệu/m²",Bắc,Đất thổ cư,,
"7,6 tỷ - 177 m2","Đường 7,5m, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",177 m²,"42,94 triệu/m²",Tây Bắc,Đất nền dự án,8.85 m,20 m
"1,75 tỷ - 100 m2","Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"17,5 triệu/m²",Đông,Đất thổ cư,5 m,20 m
"7,5 tỷ - 155 m2","Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",155 m²,"48,39 triệu/m²",Tây Bắc,Đất thổ cư,8.1999 m,20 m
12 tỷ - 103 m2,"Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",103 m²,"116,5 triệu/m²",Đông,Đất nền dự án,5 m,21 m
"1,98 tỷ - 87 m2","Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",87 m²,"22,76 triệu/m²",Tây Bắc,Đất thổ cư,7 m,10 m
"4,5 tỷ - 100 m2","Phú thạnh 3, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,45 triệu/m²,Đông Nam,Đất thổ cư,,
870 triệu - 73 m2,"Đường Nguyễn Văn Cừ, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",73 m²,"11,92 triệu/m²",Đông Bắc,Đất thổ cư,,
"2,95 tỷ - 105 m2","Đường Hói Kiểng 32, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"28,1 triệu/m²",Tây Bắc,Đất thổ cư,5 m,21 m
"3,25 tỷ - 100 m2","Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"32,5 triệu/m²",Bắc,Đất thổ cư,5 m,20 m
"2,27 tỷ - 100 m2","TDC bình kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"22,7 triệu/m²",,Đất thổ cư,,
"4,1 tỷ - 92 m2","Đường Trần Triệu Luật, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",92 m²,"44,57 triệu/m²",,Đất thổ cư,,
"7,3 tỷ - 100 m2","Đường Đỗ Huy Uyên, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",100 m²,73 triệu/m²,,Đất thổ cư,5 m,
"2,75 tỷ - 77.5 m2","Đường Hoà Phú 8, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",77.5 m²,"35,48 triệu/m²",Tây Bắc,Đất thổ cư,5 m,15.5 m
"1,89 tỷ - 87 m2","Tô Đản, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",87 m²,"21,72 triệu/m²",Tây Bắc,Đất thổ cư,7 m,12 m
"2,55 tỷ - 90 m2","Đường Nguyễn Đóa, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"28,33 triệu/m²",Tây Nam,Đất thổ cư,5 m,18 m
4 tỷ - 100 m2,"Đường Sơn Thủy Đông 3, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,40 triệu/m²,,Đất thổ cư,5 m,20 m
"2,48 tỷ - 84 m2","888, Đường Phước Tướng 2, Phường Hòa Phát, Quận Cẩm Lệ, Đà NẵngXem bản đồ",84 m²,"29,52 triệu/m²",Đông Bắc,Đất thổ cư,6 m,14 m
"11,5 tỷ - 250 m2","Đường Đinh Liệt, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",250 m²,46 triệu/m²,,Đất thổ cư,10 m,25 m
"1,98 tỷ - 87 m2","Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",87 m²,"22,76 triệu/m²",Tây Bắc,Đất thổ cư,,
