Gia,Dia chi,Dien tich,Gia/m²,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai,Quan
4.08,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",139.0,29.35,Nam,Đất thổ cư,8.0,17.0,Ngũ Hành Sơn
2.25,"Đường 5m5 Đối Lưng Đường Phan Văn Định, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",77.0,29.22,,Đất nền dự án,5.0,15.4,Liên Chiểu
1.59,"Liên Thôn, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",325.0,4.89,Tây Nam,Đất thổ cư,17.0,19.0,Hòa Vang
2.8,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",104.3,26.85,,Đất nền dự án,6.0,17.4,Ngũ Hành Sơn
7.9,"Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",132.0,59.85,,Đất nền dự án,7.0,20.0,Ngũ Hành Sơn
5.5,"Đường Trần Nam Trung, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,55.0,Tây Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
4.35,"Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,43.5,Đông Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
12.8,"Chế Viết Tấn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",250.0,51.2,Tây Bắc,Đất thổ cư,10.0,25.0,Cẩm Lệ
3.69,"Đường Đậu Quang Lĩnh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,36.9,Tây Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
3.4,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",112.0,30.36,Bắc,Đất nền dự án,7.5,15.0,Ngũ Hành Sơn
2.3,"Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",99.0,23.23,Đông Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
6.2,"Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,62.0,Tây Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
3.65,"Đường Trần Thúc Nhẫn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",96.0,38.02,Tây Nam,Đất thổ cư,5.0,19.2,Cẩm Lệ
3.4,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",102.0,33.33,Bắc,Đất nền dự án,6.0,17.0,Ngũ Hành Sơn
3.5,"Đường Hoà Minh 27, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",96.0,36.46,Tây Bắc,Đất thổ cư,5.0,19.0,Liên Chiểu
15.3,"Trần Sâm, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",267.0,57.3,Đông Nam,Đất nền dự án,14.0,19.0,Sơn Trà
8.2,"Đường Võ Văn Đồng, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",200.0,41.0,Nam,Đất thổ cư,10.0,20.0,Ngũ Hành Sơn
2.9,"Đường Ngô Quyền, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",64.0,45.31,Nam,Đất thổ cư,4.2,16.0,Sơn Trà
1.59,"Bờ Đàm 14, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",100.0,15.9,Đông Bắc,Đất thổ cư,5.0,20.0,Hòa Vang
6.0,"Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",99.0,60.61,Tây Nam,Đất thổ cư,4.8,21.0,Hải Châu
3.5,"Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",93.0,37.63,Đông Nam,Đất thổ cư,5.0,18.6,Liên Chiểu
2.55,"Đường Hồ Nghinh, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",140.0,18.21,Đông,Đất thổ cư,6.0,27.0,Sơn Trà
6.8,"Đường Bùi Thị Xuân, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng",98.0,69.39,Đông,Đất thổ cư,5.0,20.0,Sơn Trà
5.9,"Đường Ninh Tốn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",123.0,47.97,Đông Bắc,Đất nền dự án,5.0,21.0,Liên Chiểu
2.75,"Nguyễn Minh Chấn, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,27.5,Tây Nam,Đất thổ cư,5.0,20.0,Liên Chiểu
3.0,"Đường Khuê Bắc 3, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",85.0,35.29,Đông Nam,Đất thổ cư,5.0,17.0,Ngũ Hành Sơn
10.5,"Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",143.0,73.43,Tây Nam,Đất thổ cư,7.0,20.0,Liên Chiểu
4.3,"Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",100.0,43.0,Đông,Đất nền dự án,5.0,20.0,Liên Chiểu
1.39,"Dt 602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",100.0,13.9,Đông Nam,Đất thổ cư,5.0,20.0,Hòa Vang
6.49,"Mỹ Thị, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",180.0,36.06,,Đất thổ cư,9.0,20.0,Ngũ Hành Sơn
1.0,"Đt.602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",107.5,9.3,Tây Bắc,Đất thổ cư,5.0,21.0,Hòa Vang
5.4,"Mỹ Khê 8, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",56.0,96.43,,Đất thổ cư,4.3,13.0,Sơn Trà
1.08,"Dt602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",125.0,8.64,Tây Bắc,Đất thổ cư,5.0,25.0,Hòa Vang
1.15,"1a, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",123.0,9.35,Đông Nam,Đất thổ cư,6.5,17.0,Hòa Vang
1.16,"Dt602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",120.0,9.67,Tây Bắc,Đất thổ cư,5.0,24.0,Hòa Vang
11.9,"222, Đường Phan Khoang, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",386.0,30.83,Nam,Đất thổ cư,17.0,22.71,Cẩm Lệ
3.55,"Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",80.0,44.38,Đông Nam,Đất nền dự án,4.5,16.0,Liên Chiểu
1.75,"Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",72.0,24.31,,Đất nền dự án,5.0,14.0,Liên Chiểu
3.1,"Đường Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,31.0,Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
3.35,"Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",125.0,26.8,Đông,Đất nền dự án,5.0,25.0,Cẩm Lệ
3.95,"Đường 7m5 Hòa Phú 26 - Khu E Kim Long, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,39.5,Tây Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
7.9,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",123.0,64.23,Đông,Đất thổ cư,4.95,25.0,Sơn Trà
4.05,"Đường Đình Văn Chấp, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",113.0,35.84,Đông Bắc,Đất thổ cư,5.0,22.0,Cẩm Lệ
3.25,"Đường Phạm Hữu Nghi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,32.5,Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
2.15,"Đường Văn Thánh 2, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",105.0,20.48,Tây Nam,Đất thổ cư,5.0,21.0,Liên Chiểu
3.53,"Nguyễn Chơn, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",85.0,41.53,Đông Nam,Đất thổ cư,5.0,17.0,Liên Chiểu
2.1,"Đường Nguyễn Duy Trinh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",104.0,20.19,Tây Nam,Đất thổ cư,4.5,23.0,Ngũ Hành Sơn
2.5,"Đường Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,25.0,Đông Bắc,Đất nền dự án,5.0,20.0,Ngũ Hành Sơn
3.17,"Hói Kiểng, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,31.7,Đông Nam,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.75,"Đường Kiều Oánh Mậu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",80.0,34.38,,Đất thổ cư,5.0,16.0,Liên Chiểu
9.8,"Đường Đa Mặn Đông 3, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",185.0,52.97,,Đất thổ cư,10.0,18.0,Ngũ Hành Sơn
15.9,"Trần Sâm, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",267.0,59.55,Đông Nam,Đất thổ cư,17.0,15.0,Sơn Trà
3.2,"Đường Lý Văn Phức, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",97.5,32.82,Bắc,Đất thổ cư,5.0,19.5,Ngũ Hành Sơn
3.39,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",102.0,33.24,Bắc,Đất thổ cư,6.0,17.0,Ngũ Hành Sơn
3.32,"Đường Minh Mạng, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,33.2,Tây Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.35,"Đường Mê Linh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,23.5,,Đất thổ cư,5.0,20.0,Liên Chiểu
2.27,"Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",55.0,41.27,Đông Nam,Đất thổ cư,4.3,12.5,Hải Châu
6.3,"Phan Bá Vành , Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",150.0,42.0,,Đất thổ cư,10.0,15.0,Sơn Trà
2.15,"Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,21.5,,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
1.45,"Đường Betong 3,5m Sát Làng Đại Học, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",80.0,18.12,,Đất thổ cư,5.0,16.0,Ngũ Hành Sơn
3.38,"Đường Đặng Hồi Xuân, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,30.73,Đông Nam,Đất thổ cư,5.0,22.0,Ngũ Hành Sơn
2.45,"Nguyễn Công Triều, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",92.5,26.49,Tây,Đất thổ cư,5.0,18.5,Cẩm Lệ
3.25,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",105.0,30.95,Đông Nam,Đất nền dự án,6.0,17.5,Ngũ Hành Sơn
12.0,"Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",154.6,77.62,Tây,Đất thổ cư,8.0,20.0,Cẩm Lệ
2.85,"Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",85.0,33.53,,Đất thổ cư,5.0,17.0,Liên Chiểu
1.4,"Đường Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,14.0,,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.9,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",108.0,26.85,Đông Bắc,Đất nền dự án,6.0,18.0,Ngũ Hành Sơn
10.8,"Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",260.0,41.54,Tây Bắc,Đất nền dự án,12.0,25.0,Cẩm Lệ
3.3,"Đường Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,33.0,Tây Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
20.2,"Nguyễn Tất Thành, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",234.0,86.32,Đông Bắc,Đất thổ cư,10.0,23.4,Liên Chiểu
2.25,"Đường Phước Lý 6, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",100.0,22.5,Tây Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.7,"Hoà An 23, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",100.0,27.0,Đông,Đất thổ cư,5.0,20.0,Cẩm Lệ
3.1,"Nguyễn Nhược Pháp , Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",100.0,31.0,Tây Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
2.35,"39, Đường 5m5, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,23.5,Tây Nam,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
14.7,"Lý Văn Phức, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",181.0,81.22,Tây Nam,Đất nền dự án,8.0,20.0,Ngũ Hành Sơn
2.2,"Nguyễn Công Hãng, Phường An Khê, Quận Thanh Khê, Đà Nẵng",72.6,30.3,Tây Nam,Đất thổ cư,5.0,14.5,Thanh Khê
3.49,"Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",77.0,45.32,,Đất thổ cư,5.0,15.4,Sơn Trà
3.15,"Đường Hoàng Bình Chính, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,31.5,Đông,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.5,"08, Đường Tân Trà, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,25.0,Đông,Đất nền dự án,5.0,20.0,Ngũ Hành Sơn
2.8,"Đường Dương Tôn Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",90.0,31.11,Đông,Đất thổ cư,5.0,18.0,Ngũ Hành Sơn
1.05,"Đường Ngô Xuân Thu, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",75.0,14.0,Đông Bắc,Đất thổ cư,4.1,18.3,Liên Chiểu
4.35,"Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,43.5,Đông Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
3.6,"Đồng Xoài, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",80.0,45.0,Tây Bắc,Đất thổ cư,5.0,16.0,Liên Chiểu
4.55,"Sơn Thủy 3, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",127.0,35.83,Tây Nam,Đất thổ cư,5.0,26.0,Ngũ Hành Sơn
2.6,"Đồng Trí 4, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",76.5,33.99,Đông Nam,Đất thổ cư,4.5,17.0,Liên Chiểu
2.65,"Nguyễn Bá Ngọc, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,26.5,Đông Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.85,"Đường Trần Quốc Vượng, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,28.5,Đông Bắc,Đất nền dự án,5.0,20.0,Ngũ Hành Sơn
3.3,"Thích Phước Huệ, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",132.0,25.0,Nam,Đất thổ cư,5.0,26.5,Ngũ Hành Sơn
3.1,"Hố Truông, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",88.0,35.23,Đông Nam,Đất thổ cư,5.0,18.0,Liên Chiểu
4.9,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",108.0,45.37,Tây Bắc,Đất nền dự án,6.0,18.0,Ngũ Hành Sơn
3.7,"Đậu Quang Lĩnh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,37.0,Tây Bắc,Đất nền dự án,5.0,20.0,Cẩm Lệ
15.5,"Đường Trần Hưng Đạo, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",100.0,155.0,Tây,Đất thổ cư,5.0,20.0,Sơn Trà
4.75,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",136.0,34.93,Đông,Đất nền dự án,7.5,17.0,Ngũ Hành Sơn
1.85,"Đường Quy Hoạch 7,5m, Xã Hòa Nhơn, Huyện Hòa Vang, Đà Nẵng",150.0,12.33,Nam,Đất thổ cư,6.0,25.0,Hòa Vang
1.55,"Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",105.0,14.76,Đông Nam,Đất thổ cư,5.0,21.0,Liên Chiểu
3.25,"Đường Nguyễn Minh Không, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",150.0,21.67,Đông Nam,Đất thổ cư,6.2,23.0,Liên Chiểu
11.5,"Nguyễn Phước Lan, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",100.0,115.0,Tây Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
10.5,"Đường Trung Lương 9, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",250.0,42.0,Tây Bắc,Đất thổ cư,10.0,25.0,Cẩm Lệ
3.5,"Đường Mân Quang 15, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",85.0,41.18,,Đất thổ cư,5.0,17.0,Sơn Trà
3.85,"35, Đường Nước Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",125.0,30.8,Tây Nam,Đất nền dự án,5.0,25.0,Ngũ Hành Sơn
7.5,"Đường Vân Đồn, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",90.0,83.33,Bắc,Đất thổ cư,5.0,18.0,Sơn Trà
11.0,"K34/2, Đường Mỹ Đa Đông 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",163.0,67.48,Nam,Đất thổ cư,5.0,30.0,Ngũ Hành Sơn
6.9,"Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,69.0,Đông Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
10.0,"Đường Đỗ Đăng Đệ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",240.0,41.67,Tây Nam,Đất thổ cư,10.0,22.0,Cẩm Lệ
5.5,"Đường Lê Văn Quý, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",76.0,72.37,Bắc,Đất thổ cư,4.5,17.0,Sơn Trà
3.0,"Đường Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",105.0,28.57,,Đất thổ cư,5.0,25.0,Liên Chiểu
2.15,"Đường Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,21.5,,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
7.2,"Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",113.0,63.72,Tây Bắc,Đất thổ cư,5.0,25.0,Thanh Khê
2.25,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",170.0,13.24,,Đất nền dự án,7.0,24.29,Ngũ Hành Sơn
1.1,"605, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",120.0,9.17,Tây,Đất thổ cư,6.0,20.0,Hòa Vang
6.8,"Khuê Mỹ Đông 7, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",102.0,66.67,,Đất nền dự án,6.0,18.0,Ngũ Hành Sơn
2.4,"Đường Nguyễn Hàm Ninh, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",100.0,24.0,Bắc,Đất thổ cư,5.0,20.0,Hòa Vang
3.25,"Đường Phạm Hữu Nghi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",125.0,26.0,Nam,Đất nền dự án,5.0,25.0,Cẩm Lệ
3.3,"Đường Thích Phước Huệ, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",132.0,25.0,Nam,Đất thổ cư,5.0,26.0,Ngũ Hành Sơn
3.0,"B2.34, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,27.27,Tây Nam,Đất thổ cư,5.0,22.0,Ngũ Hành Sơn
1.27,"Đường Bê Tông 5m, Xã Hòa Phong, Huyện Hòa Vang, Đà Nẵng",150.0,8.47,Bắc,Đất thổ cư,5.0,30.0,Hòa Vang
2.27,"Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",51.5,44.08,Đông Nam,Đất thổ cư,4.3,11.72,Hải Châu
1.87,"Undefined, Xã Hòa Liên, Huyện Hòa Vang, Đà Nẵng",120.0,15.58,Tây Bắc,Đất thổ cư,5.0,24.0,Hòa Vang
3.25,"Đường Hói Kiểng 12, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,29.55,,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
2.1,"Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,21.0,Đông,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
1.9,"Đường Tôn Đản, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",86.0,22.09,Đông Bắc,Đất thổ cư,4.2,20.0,Cẩm Lệ
1.6,"Đường Dt602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",125.0,12.8,Đông,Đất thổ cư,5.0,25.0,Hòa Vang
2.45,"Phước Tường 2, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",84.0,29.17,Đông,Đất thổ cư,6.0,14.0,Cẩm Lệ
4.15,"Đường Hoà Phú 29, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",95.0,43.68,Đông Bắc,Đất thổ cư,5.0,19.0,Liên Chiểu
2.65,"Đường Nguyễn Thị Cận, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",105.0,25.24,Đông Bắc,Đất thổ cư,5.0,21.0,Cẩm Lệ
14.0,"Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",300.0,46.67,Tây Bắc,Đất thổ cư,15.0,20.0,Liên Chiểu
12.5,"Đường Vân Đồn, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",300.0,41.67,Đông Nam,Đất thổ cư,10.0,30.0,Sơn Trà
4.35,"Đường Bùi Dương Lịch, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",82.0,53.05,Tây,Đất thổ cư,5.0,16.0,Sơn Trà
2.88,"1212, Thái Thị Bôi , Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",88.0,32.73,Đông Nam,Đất thổ cư,8.0,11.0,Thanh Khê
2.85,"Ngô Sỹ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",85.0,33.53,Tây Nam,Đất nền dự án,5.0,17.0,Liên Chiểu
3.5,"Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",78.0,44.87,Tây Bắc,Đất thổ cư,5.0,15.0,Sơn Trà
1.48,"Kiệt 113 Nguyễn Như Đãi, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",85.0,17.41,Tây Bắc,Đất thổ cư,5.0,17.0,Cẩm Lệ
4.25,"Đường Trần Đăng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",105.0,40.48,Đông Nam,Đất nền dự án,5.0,21.0,Liên Chiểu
3.7,"Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",95.0,38.95,Tây Nam,Đất nền dự án,5.0,19.0,Liên Chiểu
2.3,"Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",99.0,23.23,Đông Bắc,Đất thổ cư,5.0,20.0,Liên Chiểu
13.2,"Đường Lương Hữu Khánh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",300.0,44.0,Nam,Đất nền dự án,15.0,20.0,Sơn Trà
5.9,"Đường Ninh Tốn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",122.0,48.36,Đông Bắc,Đất thổ cư,5.0,25.0,Liên Chiểu
2.1,"Kiệt 447 Nguyễn Lương Bằng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",81.0,25.93,Đông Bắc,Đất thổ cư,5.5,14.5,Liên Chiểu
4.35,"Mỹ An 19, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",96.0,45.31,Bắc,Đất thổ cư,4.8,20.0,Ngũ Hành Sơn
10.5,"Đường Ngô Huy Diễn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",225.0,46.67,Tây Nam,Đất nền dự án,10.0,22.0,Cẩm Lệ
8.1,"Đường Thái Văn Lung, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",136.0,59.56,Đông Bắc,Đất nền dự án,8.0,20.0,Cẩm Lệ
2.45,"Đường Huỳnh Tịnh Của, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",100.0,24.5,Đông,Đất nền dự án,5.0,20.0,Hòa Vang
1.0,"Đường Bê Tông Oto, Xã Hòa Phú, Huyện Hòa Vang, Đà Nẵng",240.0,4.17,Đông Nam,Đất thổ cư,10.0,24.0,Hòa Vang
10.0,"Phạm Hữu Kính, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,100.0,Tây Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
4.65,"Đường Phú Lộc 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",75.0,62.0,Đông Bắc,Đất nền dự án,5.0,15.0,Liên Chiểu
12.5,"Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",121.0,103.31,Nam,Đất thổ cư,5.0,24.2,Sơn Trà
1.35,"Đường Bê Tông 4m Oto, Xã Hòa Phú, Huyện Hòa Vang, Đà Nẵng",306.0,4.41,Đông Bắc,Đất thổ cư,12.0,24.0,Hòa Vang
1.2,"Phong Nam, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",182.0,6.59,Tây Bắc,Đất thổ cư,8.0,23.0,Hòa Vang
3.18,"Đường Trương Quang Được, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,28.91,Đông Nam,Đất nền dự án,5.0,22.0,Ngũ Hành Sơn
2.24,"Trương Diệu Hà, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,22.4,Bắc,Đất thổ cư,5.0,20.0,Ngũ Hành Sơn
